,input_size,kernel_num,dense_size,dropout,lr,batch_size,kernel_size,pool_size,epochs,dense_num,conv_size,l2_regularization,seed,val_corr,val_corr_std,val_mse,val_mse_std
0,90,2,"[32, 128, 128]","[0.1, 0.5, 0.1, 0.2, 0.2, 0.2]",0.001,64,"[32, 42, 87]","[36, 29, 4]",8,1,"[64, 32, 32]","[0.0005, 0.005, 0.01]",9940,0.6733512756312082,0.031355469523062944,0.2881947653167312,0.021980998901840722
1,80,3,"[16, 32, 128]","[0.5, 0.3, 0.5, 0.2, 0.1, 0.1]",0.0005,32,"[26, 46, 57]","[27, 29, 8]",5,1,"[32, 16, 64]","[0.0005, 0.001, 0.005]",5695,0.7564611555456202,0.0021376887556772816,0.23291581450056817,0.005846354948066329
2,120,2,"[32, 16, 16]","[0.3, 0.3, 0.2, 0.1, 0.3, 0.4]",0.0005,32,"[51, 119, 113]","[64, 1, 5]",9,2,"[128, 16, 32]","[0.0005, 0.0005, 0.0005]",9584,0.7466427791591818,0.009275461882387369,0.2336259771832557,0.004791871021524823
3,120,3,"[128, 128, 32]","[0.5, 0.4, 0.1, 0.4, 0.1, 0.1]",0.0005,16,"[8, 46, 13]","[20, 14, 78]",8,2,"[32, 128, 128]","[0.0001, 0.0005, 0.001]",5381,0.7260575213660863,0.019496703804084553,0.2859424307067014,0.03737079761488519
4,90,3,"[32, 64, 16]","[0.2, 0.5, 0.5, 0.4, 0.1, 0.1]",0.001,128,"[33, 39, 13]","[3, 39, 71]",2,2,"[32, 128, 32]","[0.001, 0.0001, 0.0005]",1307,0.7540360096980994,0.005473095492862719,0.23729349072777597,0.006098370237609698
5,100,2,"[32, 16, 64]","[0.4, 0.5, 0.4, 0.4, 0.5, 0.2]",0.001,64,"[16, 82, 82]","[1, 7, 14]",7,2,"[32, 16, 128]","[0.01, 0.01, 0.001]",6950,0.747012678388201,0.0052348250217939644,0.25955092358868903,0.012610936877789436
6,100,3,"[64, 128, 64]","[0.5, 0.4, 0.5, 0.3, 0.4, 0.4]",0.001,64,"[94, 37, 63]","[4, 62, 38]",8,1,"[64, 128, 32]","[0.0001, 0.0005, 0.0001]",268,0.7551225170941347,0.004271444143446979,0.23573840564206394,0.008690648987560659
7,120,3,"[64, 16, 128]","[0.5, 0.3, 0.3, 0.5, 0.2, 0.2]",0.005,64,"[14, 73, 103]","[105, 4, 8]",2,2,"[32, 128, 16]","[0.0005, 0.005, 0.001]",9409,0.0,0.0,0.0,0.0
8,100,3,"[64, 16, 16]","[0.1, 0.5, 0.3, 0.4, 0.3, 0.5]",0.005,32,"[17, 79, 46]","[22, 1, 47]",9,2,"[16, 128, 128]","[0.0001, 0.001, 0.01]",2385,0.0,0.0,0.0,0.0
9,140,3,"[128, 128, 128]","[0.5, 0.2, 0.3, 0.4, 0.3, 0.5]",0.0001,128,"[101, 51, 26]","[28, 83, 20]",1,1,"[32, 128, 64]","[0.0001, 0.0005, 0.01]",5095,0.5892058416805237,0.02132073005047848,0.40576634285254504,0.00746767177621959
