transcript,position,rsr,total_reads
ENST00000251607.11,961,0.34269794158881856,1412
ENST00000251607.11,966,2.2006172839506166,1272
ENST00000251607.11,968,2.0596697493249216,2888
ENST00000251607.11,969,1.9897959183673468,2283
ENST00000251607.11,970,1.4586638258917204,4912
ENST00000251607.11,972,1.4373880526184273,5577
ENST00000251607.11,973,1.8904605830602041,3048
ENST00000251607.11,974,2.0381374722838137,4223
ENST00000251607.11,976,2.0743878094788477,3759
ENST00000251607.11,979,2.1736278279057486,5142
ENST00000251607.11,980,2.1736278279057486,5142
ENST00000251607.11,983,1.7975821795483198,3161
ENST00000357086.10,658,2.216529719203522,1118
ENST00000357086.10,3016,1.0669651014069066,1106
ENST00000357086.10,3017,1.0669651014069066,1106
ENST00000357086.10,4193,1.0530841121495331,1052
ENST00000357086.10,4194,1.0530841121495331,1052
ENST00000357086.10,7429,2.5164850877918354,1112
ENST00000649139.1,444,2.4270814849864952,1060
ENST00000649139.1,467,0.8206893246687783,2720
ENST00000649139.1,469,0.9873949579831932,1840
ENST00000649139.1,479,2.4585766423357662,2317
ENST00000649139.1,481,2.4585766423357662,2317
ENST00000649139.1,496,0.5991451924876771,1515
ENST00000649139.1,497,1.0140958590055882,3092
ENST00000649139.1,499,1.1963693767881012,4543
ENST00000649139.1,500,0.5860520802155044,1748
ENST00000649139.1,510,1.27838192468402,3840
ENST00000649139.1,541,1.6727761025254428,4245
ENST00000649139.1,1639,2.22196261682243,1060
ENST00000256495.4,37,1.5212697325675455,1461
ENST00000256495.4,39,0.9911273029296286,1120
ENST00000256495.4,128,2.936863543788188,1107
ENST00000256495.4,136,1.9665970897903176,2458
ENST00000256495.4,350,1.7707935940232078,1864
ENST00000256495.4,388,1.6149155722326456,1116
ENST00000256495.4,407,2.1088525835866263,1027
ENST00000256495.4,408,1.5590356016223526,1380
ENST00000256495.4,439,1.5876934414148858,1540
ENST00000256495.4,440,1.7961987634531715,1852
ENST00000256495.4,441,1.5033703752959142,5224
ENST00000256495.4,462,0.981154184161703,4372
ENST00000256495.4,463,0.981154184161703,4372
ENST00000256495.4,465,1.5729343120647468,2060
ENST00000256495.4,530,1.711981381911564,1825
ENST00000256495.4,555,0.6544040084388185,3547
ENST00000256495.4,556,0.6401620465631331,6412
ENST00000256495.4,572,1.51963074949606,3075
ENST00000256495.4,678,2.224390866181911,1982
ENST00000256495.4,816,3.4866480669589484,1113
ENST00000256495.4,846,2.5698347107438018,1173
ENST00000256495.4,888,0.6074806907923282,1374
ENST00000256495.4,930,1.7327426204630962,3964
ENST00000256495.4,1002,0.6488605733888754,1122
ENST00000256495.4,1023,1.7837209302325585,1222
ENST00000256495.4,1063,1.0252594347492408,3008
ENST00000256495.4,1064,2.7575596816976127,1111
ENST00000256495.4,1065,1.0252594347492408,3008
ENST00000256495.4,1113,1.8972011784511784,1651
ENST00000256495.4,1130,1.6629445474464857,1573
ENST00000256495.4,1261,1.6611062335381916,1238
ENST00000256495.4,1310,2.2129870129870133,1022
ENST00000256495.4,1378,1.8864838864838864,1505
ENST00000256495.4,1396,0.5898650313557108,2369
ENST00000256495.4,1427,2.423553719008265,1642
ENST00000256495.4,1681,1.985357121510176,1645
ENST00000256495.4,1719,0.5645874263261297,1134
ENST00000256495.4,1799,1.7302602665773297,3568
ENST00000256495.4,1827,0.5074599954924498,1357
ENST00000256495.4,1828,1.6259498480243155,1607
ENST00000256495.4,1865,0.4116309291747888,1370
ENST00000256495.4,1945,1.80794732061762,1703
ENST00000256495.4,2117,2.416064177478459,1134
ENST00000256495.4,2152,0.2965350523771152,1718
ENST00000256495.4,2154,1.706437768240343,1174
ENST00000256495.4,2157,2.0995502248875564,1443
ENST00000256495.4,2214,1.7191954387076336,1407
ENST00000256495.4,2383,0.5783132530120482,3147
ENST00000256495.4,2384,1.0554850237281712,4274
ENST00000256495.4,2385,0.5783132530120482,3147
ENST00000256495.4,2386,1.653320772491757,1279
ENST00000256495.4,2644,1.5909463497183955,3024
ENST00000256495.4,2775,2.0033508896247656,1849
ENST00000256495.4,2778,1.7074468085106382,1003
ENST00000256496.8,432,4.778121003067977,1165
ENST00000256496.8,434,4.779576172200901,1141
ENST00000452837.7,579,1.4123403863276656,1209
ENST00000397261.8,132,2.020618556701031,1002
ENST00000397261.8,135,1.8782608695652168,1064
ENST00000397261.8,140,2.4033333333333333,1139
ENST00000397261.8,142,1.792682926829268,1350
ENST00000397261.8,166,1.4385936469187233,2676
ENST00000397261.8,167,0.7996257596394292,1966
ENST00000397261.8,170,1.6063510504405074,1600
ENST00000397261.8,179,1.5977823977823973,1631
ENST00000397261.8,212,1.5375816993464049,1602
ENST00000397261.8,214,1.4509222222222222,3072
ENST00000397261.8,245,1.7300023820100303,4520
ENST00000397261.8,281,2.113636363636364,1093
ENST00000397261.8,291,1.8620442147573928,1277
ENST00000397261.8,495,2.360387953037264,1603
ENST00000397261.8,564,0.5084967320261438,1286
ENST00000397261.8,660,22.77303370786517,1006
ENST00000397261.8,661,19.43226776240895,1714
ENST00000397261.8,662,16.312731837549382,2588
ENST00000397261.8,675,4.52290589667907,1282
ENST00000397261.8,682,4.319452380767858,1600
ENST00000397261.8,704,0.4210456352275824,1070
ENST00000397261.8,1002,7.275135297252206,2352
ENST00000397261.8,1005,7.537283518182397,2145
ENST00000489724.2,801,0.6842485654389091,1451
ENST00000383811.8,1382,2.4789519748424294,1055
ENST00000530758.2,97,1.6656103920576957,3436
ENST00000530758.2,116,1.8855367231638416,1490
ENST00000530758.2,354,1.9597701149425288,1028
ENST00000530758.2,434,10.10387613490532,13413
ENST00000530758.2,435,10.10387613490532,13413
ENST00000530758.2,473,0.5020174806157427,2004
ENST00000530758.2,725,2.4399506356873126,1573
ENST00000256474.3,585,2.18572825024438,1895
ENST00000256474.3,586,2.1295714801106373,2990
ENST00000256474.3,588,1.9932321199926832,2061
ENST00000306077.5,122,4.3882537671032384,1851
ENST00000306077.5,124,4.039590157679688,1539
ENST00000306024.4,35,3.5349505840071878,1590
ENST00000613060.4,571,0.4490968867592244,1001
ENST00000613060.4,852,0.4785668586052463,1443
ENST00000613060.4,854,0.7833799385840009,2246
ENST00000613060.4,856,1.023736780258519,1563
ENST00000613060.4,1295,0.7779075588186216,1125
ENST00000613060.4,1296,0.7779075588186216,1125
ENST00000613060.4,2292,0.31769991015274035,1138
ENST00000613060.4,2294,0.31769991015274035,1138
ENST00000613060.4,2517,1.9932523616734144,1099
ENST00000613060.4,2582,0.5937701119835243,1114
ENST00000613060.4,2916,1.8895384240652784,1016
ENST00000613060.4,3168,1.0426008968609863,1095
ENST00000613060.4,3170,1.0426008968609863,1095
ENST00000613060.4,3211,1.9503381217797924,1196
ENST00000613060.4,3287,20.02853105303653,2276
ENST00000613060.4,3288,20.327429383572465,2994
ENST00000613060.4,3289,20.02853105303653,2276
ENST00000613060.4,3292,18.12033381445676,1297
ENST00000613060.4,3299,6.742607807882622,1619
ENST00000613060.4,3615,0.8063514677301162,1967
ENST00000613060.4,3616,0.9695530328219256,1539
ENST00000613060.4,3988,3.198589614902545,1288
ENST00000613060.4,3994,1.6483175051873191,1186
ENST00000613060.4,4019,1.2770937796088702,1988
ENST00000613060.4,4021,0.9544159544159544,1521
ENST00000613060.4,4045,1.6883749239196593,1006
ENST00000613060.4,4267,4.797668170162901,4192
ENST00000613060.4,4268,4.797668170162901,4192
ENST00000613060.4,4379,1.2929702659950235,1946
ENST00000613060.4,4418,0.4597207303974221,1039
ENST00000613060.4,6104,1.100897118215148,1835
ENST00000613060.4,6140,2.2032124430061053,1770
ENST00000613060.4,6187,1.852941176470588,1843
ENST00000383794.7,855,2.367821616034253,1850
ENST00000303498.10,11,1.3138394496569406,1321
ENST00000303498.10,12,1.1497067954467055,1050
ENST00000303498.10,13,1.1497067954467055,1050
ENST00000303498.10,63,0.8746781629842525,1497
ENST00000303498.10,65,0.8896743243258529,4166
ENST00000303498.10,66,1.1578628639089217,2900
ENST00000303498.10,647,3.6834109282957535,1094
ENST00000303498.10,653,0.4537931576473484,1180
ENST00000449897.1,190,0.9813102498524494,1908
ENST00000449897.1,192,0.9813102498524494,1908
ENST00000273047.9,1260,2.519688147576132,1227
ENST00000273047.9,1961,9.728581775071511,1663
ENST00000273047.9,1962,8.503157991859924,2439
ENST00000273047.9,1963,13.469142239156232,3145
ENST00000255320.6,81,2.2470680579924283,1822
ENST00000255320.6,95,1.7660098522167489,1121
ENST00000451497.1,56,2.0283576223936044,3598
ENST00000306627.8,477,3.0129098360655737,1362
ENST00000306627.8,478,3.0129098360655737,1362
ENST00000306627.8,624,2.3431773879142304,1367
ENST00000306627.8,823,15.84512222139178,3715
ENST00000306627.8,824,16.052402804255017,4400
ENST00000306627.8,825,30.163723916532913,1653
ENST00000306627.8,827,27.09733870464587,3457
ENST00000306627.8,828,44.64255160411015,7321
ENST00000306627.8,829,24.91317267840168,7162
ENST00000306627.8,830,24.894037733273482,12113
ENST00000306627.8,831,20.50194061026377,9943
ENST00000306627.8,849,2.86054307743882,1682
ENST00000611050.4,328,1.5034465870829508,1289
ENST00000307839.10,2,1.182382964047242,3065
ENST00000307839.10,3,0.9941688955317808,1900
ENST00000456530.7,33,1.5503713228540688,1561
ENST00000413699.7,56,1.8488855622089155,1016
ENST00000413699.7,59,1.7715664901899717,1226
ENST00000456530.7,233,1.9907908209638845,1126
ENST00000456530.7,254,1.5059417561611237,5061
ENST00000456530.7,255,1.2335744673147382,8321
ENST00000456530.7,256,1.1087271710703197,1959
ENST00000456530.7,257,1.2073120516304192,5885
ENST00000456530.7,260,2.1146537842190014,1350
ENST00000456530.7,266,1.3610350534075522,1653
ENST00000456530.7,270,1.8141402124653496,3909
ENST00000456530.7,282,1.4020477047840534,9495
ENST00000456530.7,308,1.2816891310461922,33621
ENST00000456530.7,310,1.2781253781841864,27275
ENST00000456530.7,312,1.1983694740022155,8622
ENST00000456530.7,316,1.386301397969102,25604
ENST00000465786.1,1529,1.6312249900483966,5280
ENST00000465786.1,1531,0.7877081167323248,11436
ENST00000465786.1,1540,1.298084811005238,6679
ENST00000465786.1,1541,1.42083644510829,6013
ENST00000465786.1,1561,1.360861463435452,26984
ENST00000465786.1,1585,1.4357190540702525,39147
ENST00000465786.1,1639,1.428219541011779,12418
ENST00000413699.7,855,1.6083916083916083,1863
ENST00000413699.7,858,1.4394849405241057,6489
ENST00000413699.7,874,1.8499053636738816,3320
ENST00000413699.7,879,1.8753193269908384,3707
ENST00000413699.7,886,1.903963095848466,7351
ENST00000413699.7,1166,0.6790013122765737,2615
ENST00000413699.7,1187,1.5136698263390744,6318
ENST00000413699.7,1230,0.4789245982694684,1914
ENST00000413699.7,1277,1.7611987069534243,2837
ENST00000413699.7,1362,1.7607034997335231,2030
ENST00000413699.7,1661,2.383330339500629,1440
ENST00000312521.9,4983,5.873976522291003,1168
ENST00000693715.1,270,2.5867598313740916,1009
ENST00000693715.1,274,1.3993167854226962,2432
ENST00000693715.1,276,1.3993167854226962,2432
ENST00000693715.1,612,1.3194566555301566,1265
ENST00000693715.1,613,1.1373394351765698,2241
ENST00000693715.1,614,1.03972896637267,3643
ENST00000466830.6,399,0.5805008944543828,1163
ENST00000295770.4,102,3.0502708614187357,1645
ENST00000295770.4,338,2.275564842627661,1460
ENST00000295770.4,339,1.7936058744288916,1934
ENST00000295770.4,360,0.7338153801467144,3719
ENST00000295770.4,361,0.6178925660414417,1565
ENST00000295770.4,362,1.020408163265306,1498
ENST00000436236.1,234,2.85792770025272,1242
ENST00000488151.1,127,2.6625310173697283,1784
ENST00000488151.1,129,2.0386540120793795,1324
ENST00000488151.1,138,1.8322218322218324,1712
ENST00000488151.1,143,1.5180984153461219,1828
ENST00000328834.10,248,0.4778711484593838,1250
ENST00000328834.10,249,0.4778711484593838,1250
ENST00000320954.11,227,2.1298419584753643,1170
ENST00000320954.11,264,0.304222093695778,1070
ENST00000320954.11,266,0.304222093695778,1070
ENST00000320954.11,368,1.0790742526518804,1354
ENST00000320954.11,369,1.4805667499605157,2446
ENST00000320954.11,485,2.111817004647721,1466
ENST00000320954.11,508,1.4166432123088468,1465
ENST00000320954.11,537,1.8531139835487669,1366
ENST00000320954.11,539,0.6316353887399464,1922
ENST00000320954.11,540,1.6470479104220448,2531
ENST00000320954.11,546,1.4889632596041291,4240
ENST00000320954.11,730,1.3894014084507045,3077
ENST00000320954.11,733,1.5099399849962492,3174
ENST00000320954.11,770,1.4556827529476282,2613
ENST00000320954.11,773,1.1090413648231567,9974
ENST00000320954.11,774,0.6665244693195004,5803
ENST00000320954.11,818,1.3162077629082705,4141
ENST00000320954.11,860,0.7007966679194829,3555
ENST00000320954.11,997,1.1659156169900058,9688
ENST00000320954.11,998,1.014239512685255,6847
ENST00000320954.11,1147,1.8517297753401536,2321
ENST00000320954.11,1307,1.6398740715234394,1600
ENST00000320954.11,1637,0.5608012344628286,2710
ENST00000320954.11,1650,3.6388506650430488,1081
ENST00000320954.11,1744,0.9589495113249789,6727
ENST00000320954.11,1745,0.7649167775218196,2777
ENST00000320954.11,1746,1.4912590126000032,2111
ENST00000320954.11,1754,0.6061794582392777,4157
ENST00000320954.11,1755,0.6061794582392777,4157
ENST00000320954.11,1756,1.9993751421831167,4011
ENST00000320954.11,1757,2.275889644142344,2458
ENST00000320954.11,1815,1.3541285398619978,2526
ENST00000320954.11,2513,3.0646626768167264,1344
ENST00000320954.11,2737,12.12338948839389,1481
ENST00000320954.11,2752,8.025682944002684,1051
ENST00000320954.11,2755,9.757604658543585,2403
ENST00000320954.11,2756,9.757604658543588,2403
ENST00000320954.11,2770,0.2875275265216193,1433
ENST00000320954.11,2948,2.3143812709030103,1438
ENST00000320954.11,2949,2.3143812709030103,1438
ENST00000320954.11,2975,2.4807298772169166,1477
ENST00000320954.11,2979,1.6354580152671756,2288
ENST00000320954.11,2981,1.8430776612528876,5441
ENST00000320954.11,2983,2.1144644216133943,2493
ENST00000320954.11,3184,0.3965695517304301,1051
