position,rsr,splice,total_reads,transcript
961,0.34269794158881856,1.0,1412,ENST00000251607.11
966,2.2006172839506166,1.0,1272,ENST00000251607.11
968,2.0596697493249216,1.0,2888,ENST00000251607.11
969,1.9897959183673468,1.0,2283,ENST00000251607.11
970,1.4586638258917204,1.0,4912,ENST00000251607.11
972,1.4373880526184273,1.0,5577,ENST00000251607.11
973,1.8904605830602041,1.0,3048,ENST00000251607.11
974,2.0381374722838137,1.0,4223,ENST00000251607.11
976,2.0743878094788477,1.0,3759,ENST00000251607.11
979,2.1736278279057486,1.0,5142,ENST00000251607.11
980,2.1736278279057486,1.0,5142,ENST00000251607.11
983,1.7975821795483198,1.0,3161,ENST00000251607.11
658,2.216529719203522,1.0,1118,ENST00000357086.10
3016,1.0669651014069066,1.0,1106,ENST00000357086.10
3017,1.0669651014069066,1.0,1106,ENST00000357086.10
4193,1.0530841121495331,1.0,1052,ENST00000357086.10
4194,1.0530841121495331,1.0,1052,ENST00000357086.10
7429,2.5164850877918354,1.0,1112,ENST00000357086.10
444,2.4270814849864952,1.0,1060,ENST00000649139.1
467,0.8206893246687783,1.0,2720,ENST00000649139.1
469,0.9873949579831932,1.0,1840,ENST00000649139.1
479,2.4585766423357662,1.0,2317,ENST00000649139.1
481,2.4585766423357662,1.0,2317,ENST00000649139.1
496,0.5991451924876771,1.0,1515,ENST00000649139.1
497,1.0140958590055882,1.0,3092,ENST00000649139.1
499,1.1963693767881012,1.0,4543,ENST00000649139.1
500,0.5860520802155044,1.0,1748,ENST00000649139.1
510,1.27838192468402,1.0,3840,ENST00000649139.1
541,1.6727761025254428,1.0,4245,ENST00000649139.1
1639,2.22196261682243,1.0,1060,ENST00000649139.1
37,1.5212697325675455,1.0,1461,ENST00000256495.4
39,0.9911273029296286,1.0,1120,ENST00000256495.4
128,2.936863543788188,1.0,1107,ENST00000256495.4
136,1.9665970897903176,1.0,2458,ENST00000256495.4
350,1.7707935940232078,1.0,1864,ENST00000256495.4
388,1.6149155722326456,1.0,1116,ENST00000256495.4
407,2.1088525835866263,1.0,1027,ENST00000256495.4
408,1.5590356016223526,1.0,1380,ENST00000256495.4
439,1.5876934414148858,1.0,1540,ENST00000256495.4
440,1.7961987634531715,1.0,1852,ENST00000256495.4
441,1.5033703752959142,1.0,5224,ENST00000256495.4
462,0.981154184161703,1.0,4372,ENST00000256495.4
463,0.981154184161703,1.0,4372,ENST00000256495.4
465,1.5729343120647468,1.0,2060,ENST00000256495.4
530,1.711981381911564,1.0,1825,ENST00000256495.4
555,0.6544040084388185,1.0,3547,ENST00000256495.4
556,0.6401620465631331,1.0,6412,ENST00000256495.4
572,1.51963074949606,1.0,3075,ENST00000256495.4
678,2.224390866181911,1.0,1982,ENST00000256495.4
816,3.4866480669589484,1.0,1113,ENST00000256495.4
846,2.5698347107438018,1.0,1173,ENST00000256495.4
888,0.6074806907923282,1.0,1374,ENST00000256495.4
930,1.7327426204630962,1.0,3964,ENST00000256495.4
1002,0.6488605733888754,1.0,1122,ENST00000256495.4
1023,1.7837209302325585,1.0,1222,ENST00000256495.4
1063,1.0252594347492408,1.0,3008,ENST00000256495.4
1064,2.7575596816976127,1.0,1111,ENST00000256495.4
1065,1.0252594347492408,1.0,3008,ENST00000256495.4
1113,1.8972011784511784,1.0,1651,ENST00000256495.4
1130,1.6629445474464857,1.0,1573,ENST00000256495.4
