chromosome,position,rsr,t_read,c_read,total_reads,strand
chr3,3147530,0.34269794158881856,936,476,1412,+
chr3,3147535,2.200617283950617,805,467,1272,+
chr3,3147537,2.0596697493249216,1758,1130,2888,+
chr3,3147538,1.9897959183673468,1370,913,2283,+
chr3,3147539,1.4586638258917204,2948,1964,4912,+
chr3,3147541,1.4373880526184273,3223,2354,5577,+
chr3,3147542,1.890460583060204,1685,1363,3048,+
chr3,3147543,2.0381374722838137,2297,1926,4223,+
chr3,3147545,2.0743878094788473,2194,1565,3759,+
chr3,3147548,2.1736278279057486,3003,2139,5142,+
chr3,3147549,2.1736278279057486,3003,2139,5142,+
chr3,3147552,1.7975821795483198,2103,1058,3161,+
chr3,4639409,2.216529719203522,647,471,1118,+
chr3,4675132,1.0669651014069066,686,420,1106,+
chr3,4675133,1.0669651014069066,686,420,1106,+
chr3,4691182,1.053084112149533,625,427,1052,+
chr3,4691183,1.053084112149533,625,427,1052,+
chr3,4806215,2.5164850877918354,621,491,1112,+
chr3,4815052,2.4270814849864952,652,408,1060,+
chr3,4815075,0.8206893246687783,1734,986,2720,+
chr3,4815077,0.9873949579831932,1127,713,1840,+
chr3,4815087,2.4585766423357662,1496,821,2317,+
chr3,4815089,2.4585766423357662,1496,821,2317,+
chr3,4815104,0.5991451924876771,834,681,1515,+
chr3,4815105,1.0140958590055882,2096,996,3092,+
chr3,4815107,1.1963693767881012,3003,1540,4543,+
chr3,4815108,0.5860520802155044,978,770,1748,+
chr3,4815118,1.27838192468402,2286,1554,3840,+
chr3,4815149,1.6727761025254428,2730,1515,4245,+
chr3,4846844,2.22196261682243,633,427,1060,+
chr3,4979473,1.5212697325675455,900,561,1461,+
chr3,4979475,0.9911273029296286,698,422,1120,+
chr3,4979564,2.936863543788188,617,490,1107,+
chr3,4979572,1.9665970897903178,1393,1065,2458,+
chr3,4979786,1.7707935940232078,1035,829,1864,+
chr3,4979987,1.6149155722326456,625,491,1116,+
chr3,4980006,2.1088525835866263,652,375,1027,+
chr3,4980007,1.5590356016223526,747,633,1380,+
chr3,4980307,1.5876934414148858,833,707,1540,+
chr3,4980308,1.7961987634531715,1059,793,1852,+
chr3,4980309,1.503370375295914,3064,2160,5224,+
chr3,4980330,0.981154184161703,2511,1861,4372,+
chr3,4980331,0.981154184161703,2511,1861,4372,+
chr3,4980333,1.5729343120647468,1095,965,2060,+
chr3,4980398,1.711981381911564,1093,732,1825,+
chr3,4981406,0.6544040084388185,2126,1421,3547,+
chr3,4981407,0.6401620465631331,3821,2591,6412,+
chr3,4981423,1.51963074949606,1792,1283,3075,+
chr3,4982849,2.224390866181911,1112,870,1982,+
chr3,4982987,3.4866480669589484,728,385,1113,+
chr3,4983017,2.5698347107438018,690,483,1173,+
chr3,4983059,0.6074806907923282,874,500,1374,+
chr3,4983101,1.7327426204630962,2443,1521,3964,+
chr3,4983173,0.6488605733888754,661,461,1122,+
chr3,4983194,1.7837209302325583,707,515,1222,+
chr3,4983234,1.0252594347492408,1706,1302,3008,+
chr3,4983235,2.7575596816976127,677,434,1111,+
chr3,4983236,1.0252594347492408,1706,1302,3008,+
chr3,4983284,1.8972011784511784,948,703,1651,+
chr3,4983301,1.6629445474464857,876,697,1573,+
chr3,4983432,1.6611062335381916,703,535,1238,+
chr3,4983481,2.2129870129870133,638,384,1022,+
chr3,4983549,1.8864838864838864,813,692,1505,+
chr3,4983567,0.5898650313557108,1314,1055,2369,+
chr3,4983598,2.423553719008265,917,725,1642,+
chr3,4983852,1.9853571215101757,942,703,1645,+
chr3,4983890,0.5645874263261297,626,508,1134,+
chr3,4983970,1.7302602665773295,2019,1549,3568,+
chr3,4983998,0.5074599954924498,865,492,1357,+
chr3,4983999,1.6259498480243157,950,657,1607,+
chr3,4984036,0.4116309291747888,723,647,1370,+
chr3,4984116,1.80794732061762,970,733,1703,+
chr3,4984288,2.416064177478459,696,438,1134,+
chr3,4984323,0.2965350523771152,988,730,1718,+
chr3,4984325,1.706437768240343,709,465,1174,+
chr3,4984328,2.0995502248875564,777,666,1443,+
chr3,4984385,1.7191954387076336,834,573,1407,+
chr3,4984554,0.5783132530120482,1903,1244,3147,+
chr3,4984555,1.0554850237281712,2424,1850,4274,+
chr3,4984556,0.5783132530120482,1903,1244,3147,+
chr3,4984557,1.653320772491757,701,578,1279,+
chr3,4984815,1.5909463497183955,1743,1281,3024,+
chr3,4984946,2.0033508896247656,1185,664,1849,+
chr3,4984949,1.7074468085106382,534,469,1003,+
chr3,5172203,4.778121003067977,743,422,1165,+
chr3,5172205,4.779576172200901,681,460,1141,+
chr3,9371181,1.4123403863276656,666,543,1209,+
chr3,9797747,2.020618556701031,615,387,1002,+
chr3,9797750,1.8782608695652168,655,409,1064,+
chr3,9797755,2.4033333333333333,720,419,1139,+
chr3,9797757,1.792682926829268,818,532,1350,+
chr3,9800188,1.438593646918723,1682,994,2676,+
chr3,9800189,0.7996257596394292,1225,741,1966,+
chr3,9800192,1.6063510504405074,975,625,1600,+
chr3,9800201,1.5977823977823973,1047,584,1631,+
chr3,9800234,1.5375816993464049,940,662,1602,+
chr3,9800236,1.4509222222222222,1948,1124,3072,+
chr3,9800267,1.7300023820100303,2952,1568,4520,+
chr3,9801667,2.113636363636364,656,437,1093,+
chr3,9801677,1.8620442147573928,762,515,1277,+
chr3,9803967,2.360387953037264,951,652,1603,+
chr3,9806232,0.5084967320261438,777,509,1286,+
chr3,9806328,22.77303370786517,562,444,1006,+
chr3,9806329,19.432267762408955,1064,650,1714,+
chr3,9806330,16.31273183754938,1444,1144,2588,+
chr3,9806343,4.52290589667907,492,790,1282,+
chr3,9806350,4.319452380767858,634,966,1600,+
chr3,9806372,0.4210456352275824,476,594,1070,+
chr3,9806670,7.275135297252206,1306,1046,2352,+
chr3,9806673,7.537283518182396,1144,1001,2145,+
chr3,9893371,0.6842485654389091,800,651,1451,+
chr3,9942856,2.478951974842429,604,451,1055,+
chr3,10115771,1.6656103920576957,1903,1533,3436,+
chr3,10115790,1.8855367231638418,901,589,1490,+
chr3,10126394,1.9597701149425288,681,347,1028,+
chr3,10126474,10.103876134905319,5733,7680,13413,+
chr3,10126475,10.10387613490532,5733,7680,13413,+
chr3,10126513,0.5020174806157427,922,1082,2004,+
chr3,10126765,2.4399506356873126,909,664,1573,+
chr3,10149838,2.18572825024438,1203,692,1895,+
chr3,10149839,2.1295714801106373,1874,1116,2990,+
chr3,10149841,1.993232119992683,1281,780,2061,+
chr3,14125173,4.388253767103238,1098,753,1851,+
chr3,14125175,4.0395901576796875,910,629,1539,+
chr3,14178851,3.5349505840071873,994,596,1590,+
chr3,14181559,1.0621348911311737,1499,806,2305,+
chr3,14181560,1.3833630083327395,980,738,1718,+
chr3,14181561,1.0621348911311737,1499,806,2305,+
chr3,14181564,1.440523576240049,737,567,1304,+
chr3,14181565,1.591180654338549,986,569,1555,+
chr3,14181569,1.6886711417936564,2653,2192,4845,+
chr3,14181571,1.6886711417936564,2653,2192,4845,+
chr3,14181597,0.7256248086567902,3434,2628,6062,+
chr3,14181612,1.0849338612560906,3957,2986,6943,+
chr3,14181639,1.3361947968451455,2479,1685,4164,+
chr3,14198122,1.6849529780564263,1074,637,1711,+
chr3,14198138,0.9564500724034875,1320,1046,2366,+
chr3,14198139,0.9564500724034875,1320,1046,2366,+
chr3,14445737,0.4490968867592244,595,406,1001,+
chr3,14447748,0.4785668586052463,923,520,1443,+
chr3,14447750,0.7833799385840009,1426,820,2246,+
chr3,14447752,1.023736780258519,989,574,1563,+
chr3,14468090,0.7779075588186216,665,460,1125,+
chr3,14468091,0.7779075588186216,665,460,1125,+
chr3,14485115,0.31769991015274035,662,476,1138,+
chr3,14485117,0.31769991015274035,662,476,1138,+
chr3,14485340,1.9932523616734144,632,467,1099,+
chr3,14485405,0.5937701119835243,658,456,1114,+
chr3,14485739,1.8895384240652784,534,482,1016,+
chr3,14485991,1.0426008968609863,650,445,1095,+
chr3,14485993,1.0426008968609863,650,445,1095,+
chr3,14486034,1.9503381217797924,714,482,1196,+
chr3,14486110,20.02853105303653,1529,747,2276,+
chr3,14486111,20.327429383572465,2035,959,2994,+
chr3,14486112,20.02853105303653,1529,747,2276,+
chr3,14486115,18.120333814456757,836,461,1297,+
chr3,14486122,6.742607807882621,971,648,1619,+
chr3,14486438,0.8063514677301162,1195,772,1967,+
chr3,14486439,0.9695530328219256,971,568,1539,+
chr3,14486811,3.1985896149025455,763,525,1288,+
chr3,14486817,1.6483175051873191,647,539,1186,+
chr3,14486842,1.2770937796088702,1216,772,1988,+
chr3,14486844,0.9544159544159545,937,584,1521,+
chr3,14486868,1.6883749239196593,583,423,1006,+
chr3,14487090,4.797668170162901,2182,2010,4192,+
chr3,14487091,4.797668170162901,2182,2010,4192,+
chr3,14487202,1.2929702659950235,1126,820,1946,+
chr3,14487241,0.4597207303974221,641,398,1039,+
chr3,14488927,1.100897118215148,1055,780,1835,+
chr3,14488963,2.2032124430061053,1031,739,1770,+
chr3,14489010,1.852941176470588,1106,737,1843,+
chr3,14667479,2.367821616034253,1007,843,1850,+
chr3,15601746,1.3138394496569406,727,594,1321,+
chr3,15601747,1.1497067954467055,605,445,1050,+
chr3,15601748,1.1497067954467055,605,445,1050,+
chr3,15601798,0.8746781629842525,912,585,1497,+
chr3,15601800,0.8896743243258529,2473,1693,4166,+
chr3,15601801,1.1578628639089217,1767,1133,2900,+
chr3,15635635,3.6834109282957543,646,448,1094,+
chr3,15635641,0.4537931576473484,704,476,1180,+
chr3,17465339,0.9813102498524494,1246,662,1908,+
chr3,17465341,0.9813102498524494,1246,662,1908,+
chr3,19983917,2.5196881475761317,740,487,1227,+
chr3,19984618,9.728581775071513,847,816,1663,+
