chromosome,position,rsr,t_read,c_read,total_reads,strand
chr3,3189214,0.342126891597613,954,485,1439,+
chr3,3189219,2.19124155602143,817,476,1293,+
chr3,3189221,2.0568556361239287,1782,1147,2929,+
chr3,3189222,1.9897959183673468,1388,925,2313,+
chr3,3189223,1.4585632137144646,2991,1990,4981,+
chr3,3189225,1.4388747935758561,3265,2378,5643,+
chr3,3189226,1.8970052696971,1702,1372,3074,+
chr3,3189227,2.044915373435229,2319,1938,4257,+
chr3,3189229,2.0740129768083095,2214,1579,3793,+
chr3,3189232,2.176646117027182,3021,2149,5170,+
chr3,3189233,2.176646117027182,3021,2149,5170,+
chr3,3189236,1.7959636045296132,2117,1066,3183,+
chr3,4681093,2.267458414714295,681,495,1176,+
chr3,4716816,1.1049847588309127,724,428,1152,+
chr3,4716817,1.1049847588309127,724,428,1152,+
chr3,4725229,1.320958967387977,746,549,1295,+
chr3,4732866,1.0364125560538118,641,445,1086,+
chr3,4732867,1.0364125560538118,641,445,1086,+
chr3,4847899,2.5043194905047104,633,502,1135,+
chr3,4856759,0.448754158036779,714,338,1052,+
chr3,4856760,0.5258215962441315,671,354,1025,+
chr3,4856771,2.4582524271844663,1687,926,2613,+
chr3,4856773,2.4582524271844663,1687,926,2613,+
chr3,4856789,0.9990070321656466,2272,1096,3368,+
chr3,4856791,1.1920882233071413,3264,1684,4948,+
chr3,4856802,1.288389884908355,2457,1666,4123,+
chr3,4856833,1.6683213826070968,2791,1553,4344,+
chr3,4888528,2.22196261682243,633,427,1060,+
chr3,5021158,1.5212697325675455,900,561,1461,+
chr3,5021160,0.9911273029296286,698,422,1120,+
chr3,5021249,2.936863543788188,617,490,1107,+
chr3,5021257,1.9665970897903178,1393,1065,2458,+
chr3,5021471,1.761246290025778,1036,835,1871,+
chr3,5021672,1.6562194611196428,718,550,1268,+
chr3,5021691,2.1433982683982684,698,395,1093,+
chr3,5021986,2.0452079566003616,782,473,1255,+
chr3,5021992,1.6092511235671365,1027,860,1887,+
chr3,5021993,1.7604884397488898,1242,932,2174,+
chr3,5021994,1.4915403326682268,3611,2544,6155,+
chr3,5022015,0.9874072796273936,2861,2107,4968,+
chr3,5022016,0.9874072796273936,2861,2107,4968,+
chr3,5022018,1.6039081624039842,1245,1076,2321,+
chr3,5022083,1.7552436524207538,1112,745,1857,+
chr3,5023092,0.6470547619202324,3351,2296,5647,+
chr3,5024672,3.486648066958948,728,385,1113,+
chr3,5024702,2.5698347107438018,690,483,1173,+
chr3,5024744,0.6074806907923282,874,500,1374,+
chr3,5024786,1.7327426204630962,2443,1521,3964,+
chr3,5024858,0.6488605733888754,661,461,1122,+
chr3,5024879,1.7837209302325578,707,515,1222,+
chr3,5024919,1.0252594347492408,1706,1302,3008,+
chr3,5024920,2.7575596816976127,677,434,1111,+
chr3,5024921,1.0252594347492408,1706,1302,3008,+
chr3,5024969,1.8972011784511784,948,703,1651,+
chr3,5024986,1.6629445474464857,876,697,1573,+
chr3,5025117,1.6611062335381916,703,535,1238,+
chr3,5025166,2.212987012987013,638,384,1022,+
chr3,5025234,1.8864838864838864,813,692,1505,+
chr3,5025252,0.5898650313557108,1314,1055,2369,+
chr3,5025283,2.423553719008265,917,725,1642,+
chr3,5025537,1.9853571215101757,942,703,1645,+
chr3,5025575,0.5645874263261297,626,508,1134,+
chr3,5025655,1.7302602665773295,2019,1549,3568,+
chr3,5025683,0.5074599954924498,865,492,1357,+
chr3,5025684,1.6259498480243157,950,657,1607,+
chr3,5025721,0.4116309291747888,723,647,1370,+
chr3,5025801,1.80794732061762,970,733,1703,+
chr3,5025973,2.416064177478459,696,438,1134,+
chr3,5026008,0.2965350523771152,988,730,1718,+
chr3,5026010,1.706437768240343,709,465,1174,+
chr3,5026013,2.0995502248875564,777,666,1443,+
chr3,5026070,1.7191954387076336,834,573,1407,+
chr3,5026239,0.5783132530120482,1903,1244,3147,+
chr3,5026240,1.0554850237281712,2424,1850,4274,+
chr3,5026241,0.5783132530120482,1903,1244,3147,+
chr3,5026242,1.653320772491757,701,578,1279,+
chr3,5026500,1.5909463497183955,1743,1281,3024,+
chr3,5026631,2.0033508896247656,1185,664,1849,+
chr3,5026634,1.7074468085106382,534,469,1003,+
chr3,5213888,4.7558578410024674,790,448,1238,+
